gene	log2FC	FDR
RP11-458D21.5	-0.06	0.894928524525251
TRMT10C	-0.18	0.463147393693248
TOP2B	-0.12	0.47580642928105
COX5A	-0.18	0.433332591913251
SUGP2	0.1	0.423852934831559
ZNF71	-0.11	0.519094577332938
OCEL1	0.12	0.730867294776203
ADAM28	-0.38	0.469155345734599
CKAP4	-0.13	0.455767825921614
THAP2	0.1	0.577927930637115
PYGO1	0.03	0.945647133819442
CRYZ	0.21	0.461936814592528
ZNF786	0.11	0.546098793310012
COQ2	-0.12	0.501625809849234
SYMPK	-0.17	0.442065525063455
HYPK	-0.1	0.561681713829799
MYO1G	-0.46	0.490223433774999
CHTF8	-0.24	0.639743008444009
MAP4	-0.14	0.426676995679316
ECHS1	-0.18	0.433485147201707
C1orf43	-0.11	0.426057320459744
ZKSCAN5	0.11	0.463965391718116
MTA3	-0.15	0.520051111349188
MAP3K8	-0.2	0.581744997480641
FBXL8	0.12	0.697571805392648
MRPS7	-0.22	0.45572916180157
KIAA0141	0.1	0.440041470692924
C21orf59	-0.14	0.471339108795453
HFM1	-0.01	0.982099568004319
TRADD	-0.11	0.567692892467943
TBXAS1	-0.16	0.464545693476591
ZNF165	0.11	0.795737317413958
ZBTB3	0.13	0.586157441776212
SLC4A2	0.08	0.42640398684882
RBM44	0.07	0.850640210671552
ZNF449	0.12	0.603707247011151
PSMB7	-0.15	0.431859116154782
C9orf3	-0.08	0.579094360734158
LMAN2	0.13	0.429355923265421
TPT1	-0.16	0.507334212215512
LGALS1	-0.26	0.428932247858279
MICAL2	0.24	0.699215278070682
ZC3H15	-0.18	0.426469331156006
R3HDM1	0.15	0.481635099129604
LIPE	0.1	0.659177009336522
LIN37	0.1	0.57398784916872
ZNF367	-0.1	0.438633003244957
RAB11FIP2	0.13	0.456093344797997
NDUFS4	-0.17	0.480203697925963
NOC4L	-0.19	0.512228594925098
PTPN7	0.11	0.428320996657757
TCF19	-0.09	0.443718380407295
PMM1	-0.11	0.706901163618961
CYB5R1	-0.1	0.601601415334466
DMTF1	0.13	0.429768473757094
FCF1	-0.13	0.458692352356929
DNAJB6	-0.15	0.428320996657757
RBM14-RBM4	-0.05	0.815839175058597
UBE2T	-0.16	0.437089914600475
POLI	-0.18	0.467156369552929
GAS8	0.09	0.582841082601983
GIMAP1	0.05	0.916008844023378
POLR2I	-0.2	0.503259046892377
NGDN	-0.15	0.467156369552929
COPS6	-0.15	0.461331664081452
INO80C	-0.16	0.535223041899215
TBCCD1	-0.11	0.49930263606181
BAZ1B	0.13	0.447620581021285
ATP6V1C1	0.18	0.433485147201707
FAM96B	0.13	0.470948123028639
NEDD8	-0.15	0.439474038839833
GABBR1	0.14	0.71133773513094
NAB1	-0.1	0.448212678101717
PRCC	0.13	0.481880682438245
HDAC7	0.13	0.447698289596507
MKLN1	0.12	0.430680601404361
PDDC1	-0.1	0.450137043730751
HEXDC	-0.15	0.493332062849815
ZRANB2	-0.09	0.434019115596803
ARF6	-0.1	0.440835055235143
BCDIN3D	0.12	0.56738354458432
TAOK3	-0.12	0.430748386645286
NUDT16L1	0.15	0.523548355538669
PJA1	0.12	0.48857911197308
EIF3A	-0.13	0.456871676148139
MLLT3	0	0.999992137676946
ARHGAP25	0.14	0.44797357318189
CCPG1	0.55	0.435733671530444
ZNF451	0.09	0.43305427280419
LARP7	0.11	0.447620581021285
ADRM1	0.22	0.447979178971412
ZNF622	-0.1	0.482802077962193
ISL2	0.04	0.870311497076536
C1orf122	-0.11	0.680790225222099
ZNF524	-0.11	0.65118896421929
AC004381.6	-0.15	0.512838227550049
GPR125	-0.16	0.455006787038293
TULP3	-0.11	0.590738649090499
SWSAP1	0.07	0.774652991618634
GPR75-ASB3	-0.12	0.499239493373164
TOR3A	0.17	0.477784180496148
ATP6V1A	0.16	0.442745634520769
MIS12	0.16	0.463147393693248
FAM109A	0.09	0.797652315153384
C19orf24	0.18	0.534621436150783
ZNF14	0.09	0.635198070857062
RSC1A1	0.16	0.635717754352959
NDUFC1	0.16	0.561990344555484
C5	-0.15	0.55100870496159
NEK4	0.12	0.474481508402879
LYRM4	-0.14	0.498328400486022
IARS	-0.34	0.469579382422006
RBBP8	0.14	0.435042571504706
RP11-343C2.12	-0.03	0.935502682070565
NIT1	-0.12	0.515882716302942
MIB2	0.15	0.514214405593898
PHLDB3	0.08	0.785535686294695
ZHX1-C8ORF76	-0.06	0.858971046599944
LRRFIP1	0.15	0.442468019020016
SHOX2	-0.07	0.863272732982205
RNF185	0.11	0.49231368904171
METTL8	-0.14	0.481640273226962
MOCS3	0.08	0.580102713135567
UQCR11	0.19	0.460023065873694
SESN2	0.56	0.503131710107783
ZNF263	-0.12	0.451227583594913
METTL18	-0.08	0.613124418882775
NDUFB3	-0.19	0.474477770055241
ZFPL1	0.11	0.513710602329379
RCE1	-0.09	0.555733464788667
CFL2	0.1	0.576969360906784
CD46	-0.17	0.44408211348932
AP3S2	0.13	0.50949217427689
ARPC4-TTLL3	0.09	0.720627980629993
IGIP	0.06	0.884386683750379
NIP7	-0.23	0.467129944978613
NMRK1	0.15	0.780709043064704
YJEFN3	-0.1	0.700604654050724
PSMD5	-0.12	0.493332062849815
KHDRBS2	-0.17	0.727570268435985
FOXO1	0.19	0.551256748380152
AKTIP	0.12	0.653164592144765
DVL3	0.11	0.478236699323534
HN1L	-0.16	0.437541952037747
SPAST	0.11	0.456136054631567
FREM2	0.11	0.833061930674255
MPG	0.12	0.457621785539119
KCTD10	0.13	0.463142203811752
RP11-1407O15.2	-0.15	0.560434100996629
AP3M2	-0.18	0.473346578064323
NBPF24	0.03	0.908723908062558
SF3B4	0.16	0.498080512757471
NUP153	0.1	0.443375555688878
PPP1R16A	-0.13	0.490997011970467
CDCA3	-0.19	0.475373631028865
C14orf166	-0.15	0.439702484167688
CD74	0.1	0.493417695054644
HHAT	0.07	0.747239731544264
B4GALT3	0.08	0.474851014580897
PRKRIR	-0.16	0.444838190142684
FRG1B	0.01	0.978352070749982
GRB2	0.09	0.440785213364622
NUDT9	-0.12	0.650191080779194
C19orf54	0.06	0.845470432458349
FTO	-0.1	0.474539455668212
DYNC2LI1	-0.1	0.607789503565241
SNAPC5	0.16	0.586157441776212
ESPL1	-0.14	0.455985906498218
FRAT2	-0.13	0.474278620370116
STK11IP	0.11	0.533472700603547
NBEA	-0.18	0.548385607327737
PDGFD	0.07	0.825866012375457
FRAT1	-0.13	0.531932577245125
SIRT5	0.09	0.520973596155115
MFN1	0.13	0.459263511394313
SNX22	0.25	0.468505942380098
RIMS3	0.48	0.467585943224837
C19orf10	-0.2	0.499332651804661
XRCC5	-0.14	0.481680280087909
AJUBA	0.11	0.539527404275436
PARD3	-0.12	0.464156100589235
MRPL19	-0.17	0.467284613621515
WRAP73	-0.08	0.516217268038077
MXD1	0.13	0.706477388879888
ITGA2	-0.15	0.481734522177036
TK2	0.28	0.53892650760539
SLC35E2	-0.13	0.55135455236482
C11orf84	0.14	0.469363061603939
NUDT6	-0.13	0.567170487193346
GMPPB	0.26	0.520973596155115
BTD	0.01	0.989308227840719
DHX58	0.08	0.665141808489313
ZNF670	0.1	0.530726265304039
COL4A3BP	-0.11	0.463670608894213
STAT6	0.12	0.450211417042198
EMC7	0.12	0.515585737454333
F8A1	-0.11	0.561931929397538
ZNF221	-0.12	0.645977174186343
DGCR14	0.11	0.537112177703827
PTS	0.1	0.640998539309118
KIAA0556	0.15	0.550692679455978
PRKCSH	-0.13	0.446611813861572
PYGO2	0.1	0.466640062985186
ACTL6A	-0.14	0.450329429441897
RIMBP3B	-0.09	0.805971597929639
DNASE1L1	-0.13	0.640236938324861
NBPF16	0.07	0.868617112162548
MRPL41	0.21	0.566155748520928
TGFBR2	0.31	0.44878810639454503
MUL1	0.12	0.535719422147915
PRKAR2B	-0.03	0.915159069314505
C7orf73	0.1	0.496718546811726
AGAP6	0.13	0.561486850677883
MAPKAPK5	-0.13	0.477198707425942
GOLPH3	0.1	0.448923314533179
FAM175B	-0.1	0.488300771309362
ZNF18	0.09	0.609432363913943
ZNF311	-0.09	0.675837130649618
ANKS3	-0.09	0.653568306702555
ESCO2	-0.1	0.45874686690106
IFNLR1	0.07	0.881241713241913
MEF2A	0.13	0.455006787038293
RP11-159G9.5	-0.16	0.643217631310637
CCS	0.11	0.529694625878577
EMD	0.13	0.54559906683536
MLX	-0.1	0.474481508402879
MAPK9	0.09	0.474851014580897
LIMS1	0.12	0.455207095843978
ZNF184	-0.1	0.468917926831816
ZSCAN20	0.05	0.825164108691989
NARS	-0.26	0.461607577068143
FCGR2A	0.16	0.526284362325498
CALM2	0.11	0.488970157456736
AHCTF1	-0.11	0.453369212034457
OGFR	-0.12	0.46640236827946
KCTD13	-0.03	0.909356128943152
PRR13	0.16	0.454684080791861
USP13	-0.1	0.466254971648149
MST1	0.02	0.978323882056983
TRMT61A	-0.3	0.525637367395892
POLR3G	-0.25	0.548377277222724
FKBP1C	-0.02	0.953193220674069
ARHGAP10	0.1	0.600046120313631
SIT1	-0.29	0.473336195489519
TRIM39	0.08	0.615924875185501
VTI1A	0.1	0.493938307217862
ENOX2	0.1	0.542952723044763
NTMT1	0.15	0.541377087486151
RHOQ	0.15	0.477835487397302
CIRH1A	-0.23	0.520977793830744
SLC25A11	-0.15	0.466823990059612
ZNF618	0.13	0.634177138666707
CDC5L	0.1	0.455207095843978
C10orf54	0.26	0.513579833711402
TGIF1	-0.11	0.487976094340679
ZNF771	-0.13	0.598145832337197
PRADC1	-0.1	0.608881407988029
KIAA0391	-0.07	0.839969162148905
CSRNP1	0.15	0.617481055487117
CARM1	0.13	0.485469638961148
GHDC	0.08	0.517034229423985
CCDC30	-0.01	0.97708845170797
BBX	0.1	0.455378983329222
FAM111A	0.13	0.466741511738621
ANXA4	0.09	0.576208399195514
ZMYM6	0.01	0.979706489297429
ERCC6L	-0.13	0.50572506145095
LXN	-0.09	0.806324622194183
ZFP14	0.07	0.712698454533546
IDH3G	-0.11	0.499200321262879
C12orf52	0.11	0.559980400784466
UTP14A	-0.22	0.491023162558232
NOL3	-0.12	0.727009692296139
PMM2	-0.17	0.494654329695329
GID4	-0.11	0.561681713829799
POLR2E	-0.19	0.460220949036679
POLR1A	-0.29	0.467585943224837
THRAP3	-0.11	0.467574096879226
CDK5RAP1	-0.11	0.504016048456166
TRIM66	-0.13	0.759349158914597
MEPCE	0.14	0.466671886144224
RAB10	0.13	0.462172761284905
BCAS3	0.14	0.643209992842384
ALAD	0.11	0.491542336549633
ITPKC	0.08	0.654684623973878
SNAPC2	0.08	0.606732475472781
YAE1D1	-0.06	0.81620704248567
ZNF611	0.08	0.567720268133821
PALM	-0.28	0.593503359668601
ST7	-0.06	0.86638155410337
PDE6D	0.11	0.529066147474374
SASH3	-0.1	0.463168784341909
PRPF4	-0.15	0.477685640192203
RABL2B	-0.02	0.965686072172688
ST6GALNAC3	-0.36	0.584363370026301
KIF21B	0.29	0.478236699323534
HKR1	0.09	0.503513173599564
M6PR	0.11	0.459096567308208
PLOD1	-0.35	0.469612450878772
TAF1C	0.09	0.505755270608422
PSMD4	-0.11	0.460424161756233
HMGB1	0.1	0.548295856722656
CDC42EP3	-0.26	0.460595972899394
MYLK3	0.12	0.887328084657922
RPRD2	0.11	0.489820501676016
PRR5L	0.26	0.648946867309706
PPIL2	0.09	0.488491179597666
TNS3	0.2	0.684294905140072
TRPM7	0.09	0.467156369552929
TCERG1	-0.1	0.4626892188749
CDC40	-0.09	0.476596963785958
TMEM194A	-0.1	0.460405889416812
NSRP1	-0.09	0.526117309485589
DTNA	0.19	0.63697834129268
AKR7A2	-0.15	0.478921931913081
ZDHHC20	0.11	0.496301142028255
C5orf24	0.12	0.471339108795453
FAM98B	0.23	0.58394351086582
PDZD8	0.1	0.470959448096104
MICU2	-0.09	0.478679233054364
PRDX1	0.18	0.513525147693611
COCH	0.12	0.474356859617886
MBD5	0.12	0.687285996641768
FAM204A	-0.08	0.478236699323534
RABL6	-0.12	0.462244912244806
COX4I1	-0.1	0.469677092638926
STX17	0.09	0.526409388085335
SLC9B2	-0.09	0.535719422147915
KIAA1107	0.15	0.668985418754061
SIL1	0.07	0.69125139398721
APOBEC3F	0.04	0.909619213527082
CIC	0.16	0.495938356696319
STARD7	-0.15	0.475373631028865
ARL14EP	0.08	0.480203697925963
ZC4H2	-0.14	0.528413480726074
GLS	0.12	0.463670608894213
DNMBP	0.11	0.596654843227696
PRR4	-0.06	0.842919866050614
HSP90AB1	-0.23	0.526798073775699
SENP7	0.24	0.489979755827582
OXR1	-0.13	0.463670608894213
RAD51C	-0.13	0.500347796726375
SLC38A7	0.01	0.989706030297875
EIF1AD	0.12	0.561681713829799
CWC27	-0.1	0.510908399919565
PARP12	0.14	0.555538110950229
RNASEH2B	-0.13	0.466038183478481
RNF169	-0.1	0.471339108795453
PLA2G6	0.17	0.534058137243922
GOLGA6L9	0.12	0.535719422147915
VAMP2	0.09	0.742464309781385
CROT	0.07	0.769622541510468
CHD6	0.09	0.466455212116136
ARMCX5	0.08	0.527539743030479
PTCH1	0.14	0.526798073775699
SLC16A1	-0.19	0.473053181125762
NPHP4	-0.12	0.600046120313631
PNMA1	-0.1	0.554512233753181
TMEM167A	0.13	0.467574096879226
B3GAT3	-0.11	0.509180571799107
ATP5C1	-0.11	0.467583377425015
BRF1	0.15	0.487101778026376
SMCHD1	-0.09	0.486517626160325
CYB5D1	-0.08	0.825407259548292
VPS26A	0.1	0.488300771309362
ZNF79	0.07	0.725276085041036
NBPF11	-0.13	0.590298520935051
MITD1	0.1	0.54163350315408
QRSL1	-0.16	0.514676416430521
PPP2R5C	0.09	0.545884344610396
MPC1	0.14	0.478134999202288
PDAP1	-0.15	0.473003317507765
KIF4A	-0.11	0.479089366559375
TFPT	0.08	0.617325679945409
ATM	0.14	0.480599305536318
URB1	-0.24	0.479645118587583
TPH2	-0.12	0.598033991584885
PPAP2A	-0.01	0.969117712002919
VPS33B	-0.08	0.581299018489364
ANAPC4	-0.08	0.489847191531662
RSRC1	-0.11	0.481896935372177
ZBTB48	-0.09	0.531679942084915
ZFP36	-0.21	0.590905957196903
CERS6	-0.08	0.468917926831816
HSPA9	-0.32	0.489410257740601
FAM228B	-0.04	0.892062374573579
NQO2	-0.08	0.760936496689075
PEX12	0.06	0.796413345795155
SMG5	0.12	0.469711335007171
PSD3	-0.29	0.477835487397302
IDH3A	-0.19	0.498364436981637
WAPAL	-0.08	0.476862890041398
SMCR8	0.12	0.55438775156574
PTP4A1	0.19	0.485252675953135
C19orf52	0.09	0.592056954045485
ZNF788	-0.19	0.538328173266868
ATXN7	0.11	0.491758904261359
NAA35	-0.1	0.535941167630629
HERC3	0.12	0.524505811103431
COX7A2L	-0.23	0.474477770055241
ECE1	0.09	0.782178179419779
PTPRR	0.14	0.471111214652417
GTF3C3	-0.11	0.50572506145095
HPS1	0.11	0.501977624026668
VKORC1L1	-0.13	0.492037202688375
TMEM106A	0.09	0.795920953647589
AMN1	-0.05	0.814653590846795
COX14	-0.14	0.570492715512789
ZNF181	0.12	0.546098793310012
ITGA9	-0.13	0.674555110153575
ARHGEF1	0.08	0.479226339033071
RP11-286N22.8	-0.06	0.849417289699063
NDUFA6	-0.16	0.51198043213653
RBCK1	0.16	0.512949218543295
PPARGC1B	-0.21	0.583069534942703
ZCCHC7	0.13	0.506781599927397
ALG10	-0.12	0.554362689518825
FUOM	-0.13	0.610685496932426
CALR	0.29	0.49861607936988
MAN2C1	0.13	0.478666404871314
RARA	0.08	0.699182257497889
SLC31A1	-0.13	0.507394938354874
FBXO44	0.02	0.948020117022589
ZADH2	-0.08	0.479676607566582
MPHOSPH6	-0.16	0.546673357541571
SGK3	0.14	0.533383310039538
CFP	0.14	0.841442673265985
ALKBH6	0.08	0.700939103321051
ELP3	-0.08	0.481635099129604
PNPLA6	-0.15	0.508122570545545
STAM	0.07	0.557824711959239
DPEP2	-0.09	0.77499509517572
PRR3	-0.12	0.580765211360403
POLH	0.13	0.498956624149025
U2AF1	-0.13	0.480069200119762
SAP30L	0.09	0.489820501676016
ZNF852	0.08	0.740250196553416
UBE2J1	0.14	0.478576411251783
KCNK10	0.04	0.930680005329035
SHFM1	-0.13	0.49861607936988
FAM104B	0.07	0.812330372565248
UFL1	-0.11	0.495802493982641
MYH10	-0.21	0.485487840261913
GLUD1	-0.1	0.487336691410191
HOXA10	0.11	0.501020024168763
CDKN2D	0.21	0.559980400784466
ASF1B	0.1	0.483365901031455
TYK2	0.08	0.478753619477498
TTC30A	-0.01	0.970572077233563
WDR61	-0.11	0.529942950730326
ZNF644	0.08	0.484876834695875
CAPG	0.13	0.491164694923308
TAF15	-0.14	0.51144983812611
WDYHV1	-0.09	0.660191371187546
TBC1D2B	-0.08	0.521759721433833
MT-ND3	0.13	0.482760499323964
RNPS1	-0.13	0.478236699323534
PCSK4	0.02	0.967691633750347
GPR89B	0.11	0.569999986200078
RAD51B	-0.08	0.673787827406634
FAM109B	0.12	0.674555110153575
PSME3	0.26	0.49319252246828
HHEX	-0.09	0.514907314480839
LSM10	0.11	0.810591814642457
ZBTB20	-0.09	0.812330372565248
CCDC9	0.12	0.692767616182311
USP38	0.09	0.490078897471575
PSMD1	0.24	0.483713655436096
P4HA1	-0.33	0.479834568329545
ATP7A	0.17	0.576208399195514
C14orf28	-0.06	0.835344595873508
ZNF528	0.13	0.50351253832667
ATF1	0.09	0.526798073775699
MAP2K7	0.09	0.561486850677883
PPP1R37	-0.09	0.571762152353698
HIGD1A	0.19	0.49427286495797
ADAMTS18	-0.21	0.551485825074719
DDIT3	0.53	0.575136602201165
NAA60_ENSG00000122390.13	0.14	0.637018125336994
PHIP	0.09	0.500203243054147
MED7	0.07	0.60248672878334
EDC4	-0.09	0.487090517466528
NLRP3	-0.13	0.512457019745335
IFFO2	-0.12	0.596287275502918
PRPF6	0.1	0.482035179822861
GLCCI1	0.06	0.876930958497147
MFSD3	-0.11	0.577742588059297
TELO2	-0.11	0.508122570545545
MAP3K7CL	0.03	0.928519546730236
SMYD4	0.07	0.533655726145744
GPANK1	0.1	0.55100870496159
CCDC174	0.12	0.546324157386833
LZIC	0.11	0.541554598592185
PTH2R	-0.11	0.586380054961678
RWDD2A	0.06	0.893261525110091
FLYWCH2	-0.1	0.659177009336522
PCGF1	0.08	0.707538050223238
ZMYM1	0.14	0.53224899587174
TXLNB	0.01	0.981096778986856
ARFIP2	0.08	0.525305260142928
TAF5L	0.1	0.527453248968145
MXRA8	-0.31	0.621101414605991
SLC35A3	-0.09	0.51128559050484
C8orf58	-0.11	0.676962059318395
C1orf50	0.04	0.846530725767998
CNPY4	-0.09	0.779290363327826
SPAG16	-0.05	0.862826599602873
ZBED5	0.09	0.500347796726375
ZNF507	0.15	0.511385176178584
PRDM10	0.15	0.565979343367802
DNAJC7	-0.12	0.49089462148611
NDUFB10	-0.16	0.510133771606736
DEPDC5	-0.08	0.543169332589455
PEX19	0.09	0.508122570545545
GADD45A	0.12	0.74015869209368
CMSS1	-0.24	0.54082560319181
USE1	-0.07	0.615440024507683
UBA1	0.14	0.49722796848023
SERTAD2	0.11	0.626789389296964
STIP1	0.26	0.492153366700038
HIATL1	0.13	0.493702864318931
EPM2A	0.03	0.916242996025605
ACTB	0.15	0.571171063076033
MED25	0.1	0.594134052902825
PBX2	0.09	0.51940196061719
RAB11FIP4	-0.14	0.524523782095193
CPEB3	-0.06	0.768124989171289
ZNF382	-0.05	0.848389000266553
TRAF5	0.09	0.809092821073597
RRP15	-0.16	0.524219429045824
EIF4A3	-0.15	0.492417308953583
UTP23	-0.12	0.500158891549163
MRPL42	0.11	0.490997011970467
BOLA2B	0.19	0.560095961489503
LARP4B	-0.1	0.498749498571593
RP1-241P17.4	0.08	0.67281582373908
GTF3C6	-0.21	0.546919217116014
METTL9	0.09	0.491593804773673
XAF1	-0.28	0.510009535405308
PUF60	0.13	0.489104980987078
NDUFB8_ENSG00000255339.2	-0.06	0.877172088486416
WDR5	-0.14	0.502740348029653
TANGO2	0.11	0.571022437677366
CBX8	0.07	0.590479844283343
C2CD5	0.11	0.505401777620784
PGBD1	-0.08	0.626724145066421
TMEM206	0.11	0.56212398421626
TRPC4AP	0.07	0.49524286418115
IQCJ-SCHIP1	-0.08	0.793809489097922
RNASEH2C	-0.07	0.526137688218279
KMT2A	0.16	0.491472027204983
CNPY2	-0.16	0.512191541764012
CRY2	0.11	0.581299018489364
ZNF511	-0.1	0.536414963291125
IRF2	0.1	0.531746896876033
TTL	-0.14	0.499789032656575
BCAP31	0.13	0.494319802162165
HMGN1	0.09	0.524039003592473
QSOX1	0.19	0.510876284139998
ALKBH4	-0.09	0.650930127844005
DDX42	-0.1	0.492412359620952
ZNF486	0.1	0.513633237225143
ARHGEF7	0.18	0.500819138689361
LTB4R2_ENSG00000272658.1	-0.04	0.91056173938598
BRMS1	0.16	0.524363948996492
ZNF66	0	0.994616050558024
EIF4ENIF1	0.11	0.567742679609889
DAPP1	-0.25	0.594506158075647
HNRNPUL2-BSCL2	0.16	0.5751619313556
RAB4A	-0.06	0.754242682097099
HSPH1	0.38	0.498956624149025
FAM65B	-0.46	0.493917214192571
APRT	-0.2	0.506781599927397
HECTD1	0.08	0.512191541764012
TMEM5	-0.17	0.58755368237544
RUNDC1	0.14	0.568760122570299
HIVEP1	0.06	0.76094039439856
GPATCH3	-0.08	0.684805600772921
RABL2A	-0.02	0.926340548708199
UTP20	-0.26	0.506592706004344
MDFIC	0.08	0.524899023687524
SDCCAG8	-0.13	0.620182062620978
PPP4C	0.08	0.50830149420321
MAGEF1	-0.15	0.533666461805819
HAUS2	-0.12	0.515785819789095
TIMM21	-0.15	0.537636138094535
MPHOSPH10	-0.15	0.525465638828587
SUN1	0.08	0.52014959078973
SPATA7	0.06	0.830873663477282
WDR6	0.12	0.50647575508807
FERMT3	-0.09	0.500362975582547
AKAP9	-0.13	0.501904354767246
CCZ1B	0.11	0.649795597281678
EBLN2	0.05	0.854054054680193
FUBP3	0.1	0.513876928024327
PLAGL2	0.13	0.649501370552783
SCYL3	-0.09	0.601420592093602
EFCAB7	-0.07	0.691399780741081
PRKAR2A	0.09	0.523144841461708
ZNF444	-0.09	0.698322012091917
PLCD1	0.14	0.779820595431218
EPHB3	-0.1	0.765932914968784
HIF1A	0.1	0.506288562304585
SENP6	0.15	0.500362975582547
GALM	-0.04	0.839999536913937
DNAJC1	0.16	0.58394351086582
NRDE2	0.07	0.773135965880802
PTP4A2	0.1	0.50647575508807
GNB5	0.22	0.526192315713107
TMEM11	-0.1	0.582841082601983
MATR3	-0.12	0.551002234798816
ADPRM	0.18	0.636547678794427
TMEM165	0.11	0.514966672529634
LENG1	-0.07	0.810825096934135
LONP2	-0.09	0.505755270608422
CDC16	-0.09	0.536381689858824
HMBOX1	0.12	0.559980400784466
C8orf37	-0.08	0.727570268435985
KCTD9	-0.09	0.526433499749359
MBD2	-0.08	0.510456364763684
PSD2	0.18	0.845470432458349
LRP11	-0.02	0.952487334668982
EIF3C	-0.17	0.501183318761443
CS	-0.1	0.50220607299842
C5orf28	-0.17	0.663668570078837
B4GALT1	0.12	0.612447806580504
EBNA1BP2	-0.29	0.527696866538714
ZMYM6_ENSG00000163867.12	0.13	0.549963944431347
NFKBIB	-0.18	0.650583414230709
LMF1	-0.06	0.860530209609383
PHKB	-0.12	0.508533279301135
EAF2	-0.12	0.693459397866742
SRI	-0.13	0.526284362325498
PHF14	-0.08	0.525039075072664
SLC18B1	-0.12	0.726142395715591
TRIM25	-0.09	0.503131710107783
SNF8	0.14	0.545250159309634
MOB3C	0.11	0.659108365856913
FAM73A	-0.04	0.811055606337602
ZNF211	0.08	0.602479455578469
NAV1	-0.2	0.676477249004129
LRRC27	-0.01	0.962258777681259
FJX1	-0.16	0.672005540686009
FAM203A	-0.2	0.557406493772802
HCFC1	0.15	0.517251841524071
RNF7	-0.09	0.541554598592185
ACAD10	0.08	0.559197742147171
PHF13	0.08	0.60605501414809
P2RX1	-0.22	0.53328275234395
TBL1X	-0.08	0.75184934749669
DNAJC4	0.11	0.559167659022683
RHEB	0.1	0.512665939937355
MTRF1L	0.13	0.548385607327737
PLXDC2	-0.16	0.508143705294812
PDCD6IP	0.08	0.504928909358846
CNNM3	0.11	0.60685056906884
IFIT2	0.15	0.704687273902122
NDUFAF6	-0.11	0.666902363798842
ZNF354B	-0.08	0.629702054340379
CAPZA1	0.08	0.520051111349188
RFWD2	0.08	0.5173668061911
SLC16A7	-0.11	0.617990827446335
DBR1	-0.1	0.558131500712375
C22orf29	-0.12	0.535899929063608
BLOC1S6	-0.11	0.506781599927397
MIEF1	-0.15	0.524023159996351
IGFLR1	0.07	0.726013720326581
OAS3	0.04	0.942700519491531
ODF2	0.1	0.512191541764012
PATL2	-0.1	0.813271358584384
FGFR1OP	-0.09	0.554512233753181
ELK3	0.12	0.671036602895928
PLEKHM3	0.04	0.832978657436989
TTLL7	-0.05	0.938363495678117
CCSER2	0.1	0.549684040055751
SERTAD3	0.09	0.779218552316329
STEAP3	0.11	0.670018241405949
GAR1	0.16	0.731036207924152
RCHY1	-0.08	0.564142848723936
ZNHIT1	-0.1	0.536724270722283
ZNF425	0.01	0.975148505259247
METTL1	-0.05	0.930054843451016
DHX37	-0.21	0.531737562405125
CBWD1	-0.09	0.569499205231318
THUMPD3	-0.08	0.541377087486151
SLC35D1	0.09	0.526798073775699
OGFRL1	0.27	0.513278506053244
CHN2	-0.01	0.980515246449394
VAC14	-0.13	0.614731522232766
PDXP	-0.15	0.548787517462263
CDK5R1	0	0.991538733118494
GLG1	0.12	0.536584090525031
CERS4	-0.01	0.986043548622331
COASY	-0.12	0.558405522964805
SLC12A7	0.25	0.524157500487696
PCBD1	-0.1	0.730821939281603
RCAN3	-0.12	0.583839812195943
UBL5	0.16	0.532398621715062
MOV10	-0.11	0.526907484965679
ICOSLG	-0.03	0.925940145695172
ELAVL1	0.16	0.512583637824441
CHRNB1	0.05	0.853195021273216
CLDND1	-0.09	0.535735172814902
CCNB2	-0.13	0.514007824245013
RARRES3	-0.12	0.730612690551476
TMEM161B	-0.07	0.543707156723486
HYAL2	0.16	0.677023351860557
MED13L	0.13	0.542236931918154
TAF11	-0.11	0.565829069455845
RASA3	-0.08	0.522884421919729
DPH3	0.16	0.64014282470472506
MTMR6	0.17	0.54303845044547
PSENEN	0.08	0.613502364936494
IKBKG	0.08	0.611547635457704
HACE1	-0.16	0.580756133251612
LACTB	-0.02	0.938434902922077
CDYL	0.09	0.528413480726074
PYCR2	-0.14	0.52146735777179
CYBA	-0.09	0.511845531054807
VNN2	-0.12	0.71805975416658
BAG4	0.08	0.515785819789095
CDAN1	-0.08	0.580242279053468
ATR	-0.13	0.513710602329379
GPN2	0.09	0.572148927221436
ARHGEF6	-0.09	0.527733366345879
C14orf93	-0.06	0.700208040734064
CDC37	-0.12	0.512379377275845
AIP	-0.08	0.527416484543339
GNAI3	-0.09	0.512961571429875
GYG1	0.1	0.594442949037497
TRAPPC2L	0.16	0.564898598927065
AGPAT6	-0.09	0.512949218543295
SEC11A	-0.09	0.534561517451983
PANK4	0.07	0.620892485571353
FBXO33	0.11	0.578743653131738
CCDC124	-0.2	0.639736809496474
NEURL1B	-0.14	0.550979152943294
ZNF468	-0.08	0.552204821251627
RIMBP3	-0.09	0.675837130649618
CBX5	0.1	0.554181496534877
DESI1	0.16	0.632082104407685
TPP2	0.08	0.530857984671951
TAB3	0.08	0.609431600852694
MSN	0.08	0.55184915065245
HIP1	0.22	0.65600646389187
SLK	-0.09	0.513947041644896
CLPX	-0.08	0.519568667500995
ISG20L2	0.15	0.569304619959504
C17orf62	-0.11	0.514444154393019
CBX1	0.11	0.515572699555934
CCT4	-0.15	0.53224899587174
ING3	0.11	0.595642032623977
